id,rmsd,num_atoms,composition,volume_diff
A-1377,21.148288485117526,20,F12 K4 Rb2 V2,14868.698003054644
A-1310,17.208554753530066,16,Fe3 Li4 Mn1 O8,6767.249363437083
A-923,19.820779382419747,6,Ag3 Eu2 Pt1,7565.9936813426875
A-754,7.80800182049298,20,Gd4 Li2 O12 Os2,680.2541247227085
A-1286,13.740159156074997,14,O10 Pu2 Se2,1365.1542053535804
A-344,15.014013059999629,10,Ba1 Ce1 O6 Ru1 Sr1,775.8999228939687
A-597,10.517139719844064,8,Pb1 S4 Sn3,3269.774216276738
A-1578,18.34066332917383,16,Pd6 Se8 Th2,43710.09736039051
A-1615,18.3229676811468,6,Ce2 Ge1 Zn3,4950.42657864576
A-400,13.955408505159722,10,Ag1 Co1 F6 K2,3898.1612577200326
A-424,11.235193261760978,12,As6 Eu6,1217.4859414192963
A-1973,21.009856473318436,8,Au4 Dy2 Sc2,9643.32828614054
A-1422,31.76951334146318,6,Au1 Ce1 Si3 Y1,11577.995522394369
A-371,21.243673769625776,36,Ho10 Sn16 Tm10,5578.130421572891
A-1368,11.67088573069349,20,Eu2 O12 Sb2 Sr4,2422.069553260302
A-178,3.8894647007516947,12,Al1 Fe6 Sc4 U1,1997.151219324541
A-1710,18.95017218340869,10,Br1 F6 O2 Ta1,7254.727131045573
A-587,25.99702576141642,8,Se4 Si1 Tl3,10172.037851264167
A-619,20.573274292268966,10,Ba2 N4 O2 U2,4713.57971464954
A-1409,14.985419791841405,7,Cr2 Se4 Sn1,1451.2948886798579
A-679,20.1614569805104,12,Al4 Ni7 Pt1,3993.844782865767
A-1341,10.922410420520997,28,Cl16 Cs8 Cu4,3847.5220729897983
A-1793,24.77393300647645,16,Ho10 Sc2 Tc4,15417.511233959716
A-1002,8.017042458299617,6,Ba1 Cl4 Pb1,1487.1118060252002
A-15,15.964817350453501,5,Al2 Ga1 Ni1 Y1,3589.3681623530406
A-44,14.662674619402221,6,Ga1 La1 Pd2 Zn2,4657.652321511299
A-1103,17.954938828696974,22,Dy2 Nd3 O14 Sm1 Ta2,5251.113064863634
A-1546,7.27139898807278,20,Ba4 Ho2 O12 Ta2,927.0154101183768
A-115,39.037090703006534,28,B2 Eu6 O18 W2,15055.497127887438
A-1167,21.462880557541254,16,Ba1 N8 Na2 Re2 Sr3,4030.629637565118
A-1925,25.168105261525714,16,Hg10 Ho4 Tb2,21025.817549625688
